nama_kelompok_komoditas;nama_komoditas;satuan_standar;harga_minimal;harga_maksimal;satuan_lokal;konversi_satuan
F. SAYUR-SAYURAN;Daun ketela pohon/daun singkong;Kg;1000;10000;Ikat;0.6
F. SAYUR-SAYURAN;Terong;Kg;3000;20000;Kg;1
F. SAYUR-SAYURAN;Tauge;Kg;15000;30000;Kg;1
F. SAYUR-SAYURAN;Labu, labu siam, labu parang;Kg;5000;15000;Kg;1
F. SAYUR-SAYURAN;Bahan sayur sop/capcay/ kimlo (paket);Bungkus;3000;10000;Bungkus;1
F. SAYUR-SAYURAN;Bahan sayur asam/lodeh (paket);Bungkus;3000;10000;Bungkus;1
F. SAYUR-SAYURAN;Nangka muda;Kg;3000;20000;Kg;1
F. SAYUR-SAYURAN;Pepaya muda;Kg;1000;10000;Kg;1
F. SAYUR-SAYURAN;Jengkol;Kg;15000;25000;Kg;1
F. SAYUR-SAYURAN;Bawang merah;Ons;2000;5000;Ons;1
F. SAYUR-SAYURAN;Bawang putih;Ons;2000;5000;Ons;1
F. SAYUR-SAYURAN;Bawang bombay;Ons;2000;7000;Ons;1
F. SAYUR-SAYURAN;Cabe merah;Kg;40000;70000;Kg;1
F. SAYUR-SAYURAN;Cabe hijau;Kg;15000;50000;Kg;1
F. SAYUR-SAYURAN;Cabe rawit;Kg;30000;100000;Kg;1
F. SAYUR-SAYURAN;Cabe rawit;Kg;30000;100000;Pan;0.2
F. SAYUR-SAYURAN;Sayur-sayuran lainnya;Kg;4000;20000;Kg;1
G. KACANG-KACANGAN;Kacang tanah tanpa kulit;Kg;15000;40000;Kg;1
G. KACANG-KACANGAN;Kacang kedelai;Kg;5000;26000;Kg;1
G. KACANG-KACANGAN;Kacang lainnya;Kg;5000;35000;Kg;1
G. KACANG-KACANGAN;Tahu;Kg;7000;20000;1 Cumpuk (Isi 8 potong);0.8
G. KACANG-KACANGAN;Tempe;Kg;8000;20000;1 Bungkus Plastik;0.33
G. KACANG-KACANGAN;Oncom;Ons;1000;10000;Ons;1
G. KACANG-KACANGAN;Hasil lain dari kacang-kacangan;Ons;1500;25000;Ons;1
H. BUAH-BUAHAN;Jeruk, jeruk bali;Kg;6000;20000;Kg;1
H. BUAH-BUAHAN;Mangga;Kg;1000;40000;Kg;1
H. BUAH-BUAHAN;Apel;Kg;25000;100000;Kg;1
H. BUAH-BUAHAN;Rambutan;Kg;10000;20000;Kg;1
H. BUAH-BUAHAN;Duku, langsat;Kg;8000;40000;Kg;1
H. BUAH-BUAHAN;Durian;Kg;10000;57000;Kg;1
H. BUAH-BUAHAN;Durian;Kg;10000;57000;Buah Durian dengan kulit ;0.36
H. BUAH-BUAHAN;Salak;Kg;5000;20000;Kg;1
H. BUAH-BUAHAN;Pisang ambon;Kg;3000;18000;Kg;1
H. BUAH-BUAHAN;Pisang lainnya;Kg;3000;12000;Kg;1
H. BUAH-BUAHAN;Pepaya;Kg;2000;15000;Kg;1
H. BUAH-BUAHAN;Semangka;Kg;4000;15000;Kg;1
H. BUAH-BUAHAN;Tomat buah;Kg;3000;20000;Kg;1
H. BUAH-BUAHAN;Alpokat;Kg;10000;25000;Kg;1
H. BUAH-BUAHAN;Jambu Biji;Kg;5000;25000;Kg;1
H. BUAH-BUAHAN;Buah-buahan lainnya;Kg;5000;150000;Kg;1
I. MINYAK DAN KELAPA;Minyak kelapa;Liter;20000;40000;Liter;1
I. MINYAK DAN KELAPA;Minyak goreng (kelapa sawit, bunga matahari);Liter;14000;25000;Liter;1
I. MINYAK DAN KELAPA;Kelapa;Butir;1000;6000;Butir;1
J. BAHAN MINUMAN;Gula pasir;Ons;1400;10000;Ons;1
J. BAHAN MINUMAN;Gula pasir;Ons;1400;10000;1 Sendok Teh ;0.057
J. BAHAN MINUMAN;Gula pasir;Ons;1400;10000;1 Sendok Makan ;0.114
J. BAHAN MINUMAN;Gula merah, gula air (pohon aren, kelapa, lontar);Ons;1500;30000;Ons;1
J. BAHAN MINUMAN;Teh bubuk;Ons;80;10000;Ons;1
J. BAHAN MINUMAN;Teh celup (sachet);2 gr;200;2500;2 gr;1
J. BAHAN MINUMAN;Kopi (bubuk, biji);Ons;850;15000;Ons;1
J. BAHAN MINUMAN;Kopi instan (sachet);20 gr;1000;3500;20 gr;1
K. BUMBU-BUMBUAN;Garam;Gram;5;1300;Gram;1
K. BUMBU-BUMBUAN;Garam;Gram;5;1300;Sendok Teh ;4.8
K. BUMBU-BUMBUAN;Kemiri;Gram;40;100;Gram;1
K. BUMBU-BUMBUAN;Ketumbar/jinten;Gram;30;800;Gram;1
K. BUMBU-BUMBUAN;Merica/lada;Gram;50;2200;Gram;1
K. BUMBU-BUMBUAN;Merica/lada;Gram;50;2200;Sendok Teh ;3.7
K. BUMBU-BUMBUAN;Merica/lada;Gram;50;2200;Sachet Ladaku 1000an;4
K. BUMBU-BUMBUAN;Jahe;Gram;20;6000;Gram;1
K. BUMBU-BUMBUAN;Kunyit;Gram;5;3000;Gram;1
K. BUMBU-BUMBUAN;Kunyit;Gram;5;3000;1 Ruas Jari;3.5
K. BUMBU-BUMBUAN;Kunyit;Gram;5;3000;2 Ruas Jari;9.3
K. BUMBU-BUMBUAN;Asam;Gram;10;300;Gram;1
K. BUMBU-BUMBUAN;Terasi/petis;Gram;50;2000;Gram;1
K. BUMBU-BUMBUAN;Kecap;100 ml;5000;12000;100 ml;1
K. BUMBU-BUMBUAN;Penyedap masakan/vetsin;Gram;40;110;Gram;1
K. BUMBU-BUMBUAN;Sambal jadi;100 ml;5000;15000;100 ml;1
K. BUMBU-BUMBUAN;Saus tomat;100 ml;3000;10000;100 ml;1
K. BUMBU-BUMBUAN;Bumbu maskan jadi/kemasan, bumbu racikan;Gram;100;3000;Gram;1
K. BUMBU-BUMBUAN;Bumbu dapur lainnya (kencur, pala, kapulaga, dsb);Gram;25;3000;Gram;1
L. BAHAN MAKANAN LAINNYA;Mie instan;Bungkus;1000;5500;Bungkus;1
L. BAHAN MAKANAN LAINNYA;Kerupuk;Ons;150;10000;Ons;1
L. BAHAN MAKANAN LAINNYA;Bubur bayi kemasan;Kotak kecil;3000;20000;Kotak kecil;1
M. MAKANAN DAN MINUMAN JADI;Roti tawar;Potong;500;6000;Potong;1
M. MAKANAN DAN MINUMAN JADI;Roti manis, roti lainnya;Potong;300;10000;Potong;1
M. MAKANAN DAN MINUMAN JADI;Kue kering, biskuit, semprong;Ons;300;15000;Ons;1
M. MAKANAN DAN MINUMAN JADI;Kue basah (kue lapis, bika ambon, lemper, dsb);Buah;500;5000;Buah;1
M. MAKANAN DAN MINUMAN JADI;Makanan gorengan (tahu, tempe, bakwan, pisang);Potong;700;2000;Potong;1
M. MAKANAN DAN MINUMAN JADI;Makanan gorengan;Potong;500;2500;Potong;1
M. MAKANAN DAN MINUMAN JADI;Bubur kacang hijau;Porsi;2000;10000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Gado-gado, ketoprak, pecel;Porsi;5000;15000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Nasi campur/rames;Porsi;5000;25000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Nasi goreng;Porsi;5000;25000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Nasi putih;Porsi;3000;10000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Lontong/ketupat sayur;Porsi;5000;15000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Soto, gule, sop, rawon, cincang;Porsi;5000;20000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Sayur matang (ditumis, disantan, dsb);Porsi;5000;15000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Sate, tongseng;Porsi;5000;25000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Mie bakso, mie rebus, mie goreng;Porsi;5000;25000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Mie instan;Porsi;5000;15000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Makanan ringan anak-anak, krupuk/kripik;Ons;2000;200000;Ons;1
M. MAKANAN DAN MINUMAN JADI;Ikan matang;Potong;5000;25000;Potong;1
M. MAKANAN DAN MINUMAN JADI;Ayam/daging matang (ayam goreng, rendang, dsb);Potong;5000;25000;Potong;1
M. MAKANAN DAN MINUMAN JADI;Daging olahan matang (sosis. nugget, daging asap,);Potong;1000;60000;Potong;1
M. MAKANAN DAN MINUMAN JADI;Bubur ayam;Porsi;5000;25000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Siomay, batagor;Porsi;2500;15000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Air kemasan;Liter;2000;10000;Liter;1
M. MAKANAN DAN MINUMAN JADI;Air kemasan galon;Galon;3000;55000;Galon;1
M. MAKANAN DAN MINUMAN JADI;Air teh kemasan;250 ml;1000;10000;250 ml;1
M. MAKANAN DAN MINUMAN JADI;Sari buah kemasan;200 ml;1000;12000;200 ml;1
M. MAKANAN DAN MINUMAN JADI;Minuman jadi (kopi, kopi susu, teh, susu coklat);Gelas;1000;10000;Gelas;1
M. MAKANAN DAN MINUMAN JADI;Es krim;Mangkok Kecil;2000;20000;Mangkok Kecil;1
M. MAKANAN DAN MINUMAN JADI;Es lainnya;Porsi;500;15000;Porsi;1
M. MAKANAN DAN MINUMAN JADI;Minuman keras lainnya;Liter;5000;100000;Liter;1
N. ROKOK DAN TEMBAKAU;Rokok kretek filter;Batang;500;4000;Batang;1
N. ROKOK DAN TEMBAKAU;Rokok kretek tanpa filter;Batang;400;2500;Batang;1
N. ROKOK DAN TEMBAKAU;Rokok putih;Batang;1000;5000;Batang;1
N. ROKOK DAN TEMBAKAU;Tembakau;Ons;3000;30000;Ons;1
